key,en,es,da,nl,fr,de,zh,sv,ru,ja,ko
FACTION_FRIENDLY,Friendly,Amigable,Venlig,Vriendelijk,Amical,Freundlich,友好的,Vänlig,Дружелюбно,フレンドリー,친숙한
FACTION_NEUTRAL,Neutral,Neutral,Neutral,Neutrale,Neutre,Neutral,中性的,Neutral,Нейтральный,中性,중립적
FACTION_UNFRIENDLY,Unfriendly,Antipático,Uvenlig,Onvriendelijk,Hostile,Unfreundlich,不友好,Ovänlig,Недружелюбный,無愛想,해로운
SCORE_AVAILABILITIES,Scoreboard Availabilities,Disponibilidades del marcador,Tilgængeligheder på resultattavlen,Beschikbaarheid scorebord,Disponibilités du tableau de bord,Verfügbarkeiten der Anzeigetafel,记分板可用性,Tillgänglighet för resultattavlan,Наличие табло,スコアボードの利用可能性,스코어보드 가용성
OBJECTIVE_NAME,Objective Name,Nombre del objetivo,Målnavn,Objectieve naam,Nom de l'objectif,Zielname,目标名称,Målnamn,Имя цели,目標名,목표 이름
SCORE_EQUALS,Equals,igual,Lige til,Gelijk aan,Égal,Gleich,等于,Lika,Равно,等しい,같음
SCORE_BIGGER,Bigger Than,Más grande que,Større end,Groter dan,Plus grand que,Größer als,大于,Större än,"Больше, чем",より大きい,다음보다 큼
SCORE_SMALLER,Smaller Than,Más pequeño que,Mindre end,Kleiner dan,Plus petit que,Kleiner als,小于,Mindre än,"Меньше, чем",より小さい,다음보다 작음
HIDE_NPC,Hide NPC,Ocultar PNJ,Skjul NPC,NPC verbergen,Cacher le PNJ,NPC ausblenden,隐藏NPC,Dölj NPC,Скрыть НПС,NPCを隠す,NPC 숨기기
SHOW_DIALOG_WHEEL,Show Dialog Wheel,Mostrar rueda de diálogo,Vis dialoghjul,Dialoogwiel weergeven,Afficher la roue de dialogue,Dialograd anzeigen,显示对话框轮,Visa dialoghjul,Показать диалоговое колесо,ダイアログホイールを表示,대화 휠 표시
DISABLE_USING_ESC,Disable Using Esc,Deshabilitar usando Esc,Deaktiver ved hjælp af Esc,Uitschakelen met Esc,Désactiver à l'aide d'Esc,Mit Esc deaktivieren,禁用使用 Esc,Inaktivera med Esc,Отключить использование Esc,Esc を使用して無効にする,Esc를 사용하여 비활성화
SOUND_FILE,Sound File,Archivo de sonido,Lyd fil,Geluidsbestand,Fichier son,Sounddatei,声音文件,Ljudfil,Звуковой файл,サウンドファイル,사운드 파일
CONSOLE_COMMAND,Commands,Comandos,Kommandoer,Commando's,Commandes,Befehle,命令,Kommandon,Команды,コマンド,명령
FACTION_CHANGES,Faction Changes,Cambios de facción,Fraktionsændringer,Factieveranderingen,Changements de faction,Fraktionswechsel,派系变化,Fraktionsändringar,Изменения фракций,派閥の変更,진영 변경
SELECT_FACTION,Select Faction,Seleccionar facción,Vælg Fraktion,Selecteer Factie,Sélectionnez une faction,Wähle Fraktion,选择阵营,Välj Fraktion,Выберите фракцию,派閥の選択,세력 선택
ADD,Add,Agregar,Tilføje,Toevoegen,Ajouter,Hinzufügen,添加,Tillägga,Добавлять,追加,추가하다
START_QUEST,Start Quest,Iniciar misión,Start Quest,Zoektocht starten,Commencer la quête,Quest starten,开始任务,Starta Quest,Начать квест,クエスト開始,퀘스트 시작
ID,ID:,IDENTIFICACIÓN:,ID:,Identiteitskaart:,IDENTIFIANT:,AUSWEIS:,ID：,ID:,ИДЕНТИФИКАТОР:,ID:,ID:
TIME,Time:,Tiempo:,Tid:,Tijd:,Temps:,Zeit:,时间：,Tid:,Время:,時間：,시간:
DAY,Day,Día,Dag,Dag,Jour,Tag,天,Dag,День,日,낮
NIGHT,Night,Noche,Nat,Nacht,Nuit,Nacht,夜晚,Natt,Ночь,夜,밤
MIN_PLAYER_LVL,Minimum Player Level,Nivel mínimo de jugador,Minimum spillerniveau,Minimaal spelersniveau,Niveau de joueur minimum,Mindestspielerlevel,最低玩家等级,Lägsta spelarnivå,Минимальный уровень игрока,最低プレイヤーレベル,최소 플레이어 레벨
MAIL_SENDER,Sender,Remitente,Afsender,Afzender,Expéditeur,Absender,发件人,Avsändare,Отправитель,送信者,보내는 사람
MAIL_SUBJECT,Subject,Sujeto,Emne,Onderwerp,Sujet,Thema,主题,Ämne,Предмет,主題,주제
MAIL_PREV_PAGE,Prev Page,Página anterior,Forrige side,Vorige pagina,Page précédente,Vorherige Seite,上一页,Föregående sida,Предыдущая страница,前のページ,이전 페이지
MAIL_NEXT_PAGE,Next Page,Página siguiente,Næste side,Volgende pagina,Page suivante,Nächste Seite,下一页,Nästa sida,Следующая страница,次のページ,다음 페이지
MAIL_DELETE_PAGE,Delete,Borrar,Slet,Verwijderen,Supprimer,Löschen,删除,Radera,Удалить,消去,삭제
MAIL_PAGE_NUM,Page,Página,Side,Pagina,Page,Seite,页,Sida,Страница,ページ,페이지
MAIL_ITEM_SLOT,Item Slot,Ranura de artículo,Genstandsplads,Artikelsleuf,Emplacement d'objet,Gegenstandsplatz,物品槽位,Objektplats,Слот для предмета,アイテムスロット,아이템 슬롯
MAIL_ITEM_ID,Item ID,ID del artículo,Vare-id,Artikel-ID,Identifiant de l'article,Artikel-ID,商品编号,Artikel-ID,Идентификатор предмета,アイテムID,아이템 ID
MAIL_ITEM_COUNT,Count:,Contar:,Tælle:,Graaf:,Compter:,Zählen:,数数：,Räkna:,Считать:,カウント：,세다:
MAIL_CUSTOM_NBT,Custom NBT Data. Include the item ID,Datos NBT personalizados. Incluir el ID del artículo,Brugerdefinerede NBT-data. Inkluder vare-id'et,Aangepaste NBT-gegevens. Vermeld de artikel-ID,Données NBT personnalisées. Inclure l'ID de l'article,Benutzerdefinierte NBT-Daten. Geben Sie die Artikel-ID an,自定义 NBT 数据。包含项目 ID,Anpassade NBT-data. Inkludera artikel-ID,Пользовательские данные NBT. Включите идентификатор товара,カスタム NBT データ。アイテムIDを含める,맞춤형 NBT 데이터. 항목 ID 포함
DIALOG_NODE,Dialog Node,Nodo de diálogo,Dialog Node,Dialoogknooppunt,Nœud de dialogue,Dialogknoten,对话节点,Dialognod,Диалоговый узел,ダイアログノード,대화 노드
NODE,Node,Nodo,Node,Knooppunt,Nœud,Knoten,节点,Nod,Узел,ノード,마디
RESPONSE_OPTION,Response Option,Opción de respuesta,Svarmulighed,Reactie optie,Option de réponse,Antwortoption,响应选项,Svarsalternativ,Вариант ответа,応答オプション,응답 옵션
NEW_DIALOG_TITLE,New Dialog,Nuevo diálogo,Ny dialog,Nieuwe dialoog,Nouveau dialogue,Neuer Dialog,新对话,Ny dialog,Новый диалог,新しいダイアログ,새 대화 상자
RESPONSE_CONNECTED,Connected to,Conectado a,Forbundet til,Verbonden met,Connecté à,Verbunden mit,连接到,Ansluten till,Подключено к,に接続されています,연결됨
RESPONSE_TEXT,Response Text,Texto de respuesta,Svartekst,Reactietekst,Texte de réponse,Antworttext,响应文本,Svarstext,Текст ответа,応答テキスト,응답 텍스트
RESPONSE_OPTION_DIALOG,Dialog,Diálogo,Dialog,Dialoog,Dialogue,Dialog,对话,Dialog,Диалог,ダイアログ,대화
RESPONSE_OPTION_ROLE,Open Role Screen,Abrir pantalla de rol,Åbn rolleskærmen,Rolscherm openen,Ouvrir l'écran de rôle,Öffnen Sie den Rollenbildschirm,打开角色屏幕,Öppna rollskärmen,Открыть экран роли,役割画面を開く,역할 화면 열기
RESPONSE_OPTION_COMMAND,Execute Command,Ejecutar comando,Udfør kommando,Voer opdracht uit,Exécuter la commande,Befehl ausführen,执行命令,Utför kommando,Выполнить команду,コマンドの実行,명령 실행
RESPONSE_OPTION_CLOSE,Close Dialog,Cerrar diálogo,Luk dialog,Dialoogvenster sluiten,Fermer la boîte de dialogue,Dialog schließen,关闭对话框,Stäng dialog,Закрыть диалог,ダイアログを閉じる,닫기 대화상자
RESPONSE_OPTION_DISABLED,Disabled,Desactivado,Handicappet,Gehandicapt,Désactivé,Deaktiviert,残疾人,Inaktiverad,Неполноценный,無効,장애가 있는
EDS_HIDE_CONNECTION,Hide Connection Distance,Ocultar distancia de conexión,Skjul forbindelsesafstand,Verbindingsafstand verbergen,Masquer la distance de connexion,Verbindungsentfernung ausblenden,隐藏连接距离,Dölj anslutningsavstånd,Скрыть расстояние соединения,接続距離を隠す,연결 거리 숨기기
EDS_ENABLE_GRID_SNAP,Enable Grid Snapping,Habilitar ajuste de cuadrícula,Aktiver Grid Snapping,Schakel rastersnapping in,Activer l'accrochage à la grille,Aktivieren Sie die Rasterausrichtung,启用网格捕捉,Aktivera Grid Snapping,Включить привязку к сетке,グリッドスナップを有効にする,그리드 스냅 활성화
EDS_INVERT_DIALOG_MOVE,Invert Dialog Movement Functionality,Funcionalidad de movimiento de diálogo invertido,Inverter dialogens bevægelsesfunktion,Dialoogbewegingsfunctionaliteit omkeren,Fonctionnalité de mouvement de dialogue inversé,Funktion „Dialogbewegung umkehren“.,反转对话移动功能,Invertera dialogens rörelsefunktion,Инвертировать функциональность движения диалога,反転ダイアログ移動機能,대화상자 이동 기능 반전
EDS_ALLOW_MORE_THAN_SIX,Allow More Than Six Responses,Permitir más de seis respuestas,Tillad mere end seks svar,Sta meer dan zes reacties toe,Autoriser plus de six réponses,Erlauben Sie mehr als sechs Antworten,允许超过六个响应,Tillåt fler än sex svar,Разрешить более шести ответов,6 つ以上の応答を許可する,6개 이상의 응답 허용
EDS_AUTOSAVE_FREQ,Autosave Frequency (Minutes),Frecuencia de guardado automático (Minutos),Automatisk lagringsfrekvens (minutter),Frequentie automatisch opslaan (minuten),Fréquence de sauvegarde automatique (minutes),Häufigkeit der automatischen Speicherung (Minuten),自动保存频率（分钟）,Autospara frekvens (minuter),Частота автосохранения (минуты),自動保存の頻度 (分),자동 저장 빈도(분)
EDS_MAX_AUTOSAVE_FILES,Max Autosave Files,Máximo de archivos de guardado automático,Maks. Autogem filer,Maximaal aantal automatisch opgeslagen bestanden,Fichiers d'enregistrement automatique maximum,Maximale Anzahl automatisch gespeicherter Dateien,最大自动保存文件数,Max Autospara filer,Максимальное количество файлов автосохранения,自動保存ファイルの最大数,최대 자동 저장 파일
EDS_DEFAULT_DIRECTORY,Default Directory:,Directorio predeterminado:,Standardmappe:,Standaardmap:,Répertoire par défaut :,Standardverzeichnis:,默认目录：,Standardkatalog:,Каталог по умолчанию:,デフォルトのディレクトリ:,기본 디렉토리:
CHANGE,Change,Cambiar,Forandring,Wijziging,Changement,Ändern,改变,Ändra,Изменять,変化,변화
EDS_KEYBINDS,Key Binds,Enlaces de teclas,Nøglebinder,Sleutelbinders,Liaisons de touches,Schlüsselbindungen,按键绑定,Nyckelbinder,Ключевые привязки,キーバインド,키 바인딩
SAVE,Save,Ahorrar,Spare,Redden,Sauvegarder,Speichern,节省,Spara,Сохранять,保存,구하다
EXPORT,Export,Exportar,Eksportere,Exporteren,Exporter,Export,出口,Exportera,Экспорт,輸出,내보내다
CATEGORY_OPTIONS,Category Options,Opciones de categoría,Kategori Valgmuligheder,Categorie Opties,Options de catégorie,Kategorieoptionen,类别选项,Kategorialternativ,Параметры категории,カテゴリオプション,카테고리 옵션
CO_REIMPORT,Reimport,Reimportar,Genimport,Opnieuw importeren,Réimporter,Wiedereinfuhr,重新进口,Återimportera,Реимпорт,逆輸入,다시 가져오기
CO_SCAN_CHANGES,Scan For Changes,Buscar cambios,Scan for ændringer,Scannen naar wijzigingen,Rechercher les modifications,Nach Änderungen suchen,扫描更改,Sök efter ändringar,Сканировать изменения,変更をスキャンする,변경 사항 검색
CO_REINDEX,Reindex IDs,ID de reindexación,Genindekser ID'er,ID's opnieuw indexeren,Réindexer les identifiants,IDs neu indizieren,重新索引 ID,Indexera om ID:n,Идентификаторы переиндексации,ID の再インデックス,ID 재색인
ADD_DIALOG,Add Dialog,Agregar cuadro de diálogo,Tilføj dialog,Dialoogvenster toevoegen,Ajouter une boîte de dialogue,Dialog hinzufügen,添加对话框,Lägg till dialog,Добавить диалог,追加ダイアログ,대화 추가
ADD_COLOR_ORGANIZER,Add Color Organizer,Agregar organizador de colores,Tilføj Color Organizer,Kleurorganisator toevoegen,Ajouter un organisateur de couleurs,Farborganisator hinzufügen,添加颜色管理器,Lägg till Color Organizer,Добавить цветной органайзер,カラーオーガナイザーを追加,색상 정리함 추가
NEW_COLOR_ORGANIZER,Color Organizer,Organizador de colores,Farve Organizer,Kleur organisator,Organisateur de couleurs,Farborganisator,颜色管理器,Färg Organizer,Цветной органайзер,カラーオーガナイザー,컬러 정리함
PRE_1.7.10,Pre 1.7.10,Antes del 1.7.10,Før 1.7.10,Vóór 1.7.10,Avant 1.7.10,Vor 1.7.10,1.7.10 之前,Före 1.7.10,До 1.7.10,1.7.10 より前,1.7.10 이전
EXPORT_TOOL_TIP,"Exports the category, creating the proper json files for CustomNPCS","Exporta la categoría, creando los archivos json adecuados para CustomNPCS",Eksporterer kategorien og opretter de korrekte json-filer til CustomNPCS,Exporteert de categorie en maakt de juiste json-bestanden voor CustomNPCS,"Exporte la catégorie, créant les fichiers json appropriés pour CustomNPCS",Exportiert die Kategorie und erstellt die richtigen JSON-Dateien für CustomNPCS,导出类别，为 CustomNPCS 创建正确的 json 文件,Exporterar kategorin och skapar de rätta json-filerna för CustomNPCS,"Экспортирует категорию, создавая соответствующие файлы JSON для CustomNPCS.",カテゴリをエクスポートし、CustomNPCS 用の適切な json ファイルを作成します。,카테고리를 내보내 CustomNPCS에 적합한 json 파일을 생성합니다.
SAVE_TOOL_TIP,"Saves the category for the editor, creating a YDEC file. This does not make it appear in game","Guarda la categoría para el editor, creando un archivo YDEC. Esto no hace que aparezca en el juego.",Gemmer kategorien for editoren og opretter en YDEC-fil. Dette får det ikke til at vises i spillet,Slaat de categorie op voor de editor en maakt een YDEC-bestand aan. Hierdoor verschijnt het niet in het spel,"Enregistre la catégorie pour l'éditeur, créant un fichier YDEC. Cela ne le fait pas apparaître dans le jeu",Speichert die Kategorie für den Editor und erstellt eine YDEC-Datei. Dadurch erscheint es nicht im Spiel,保存编辑器的类别，创建 YDEC 文件。这不会使它出现在游戏中,Sparar kategorin för redigeraren och skapar en YDEC-fil. Detta får det inte att synas i spelet,"Сохраняет категорию для редактора, создавая файл YDEC. Из-за этого он не появляется в игре",エディターのカテゴリを保存し、YDEC ファイルを作成します。これではゲーム内に表示されません,편집기의 카테고리를 저장하여 YDEC 파일을 생성합니다. 게임 내에서는 나타나지 않습니다.
CATEGORY_OPTIONS_TOOLTIP,"Reimport : Delete all dialog nodes and the existing YDEC file, rescanning the JSONS in the folder for a fresh import.

Scan For Changes: Scans through the JSONS in the folder, and attempts to update nodes with new information, and will import any new dialogs.

Reindex IDs: Starting the from the current highest ID, give all dialog nodes a new ID. Remotely connected responses will NOT update their ids.","Reimportar: elimine todos los nodos de diálogo y el archivo YDEC existente, volviendo a escanear los JSONS en la carpeta para una nueva importación.

Buscar cambios: escanea los JSONS en la carpeta e intenta actualizar los nodos con nueva información e importará los nuevos cuadros de diálogo.

Reindexar ID: comenzando desde la ID más alta actual, asigne a todos los nodos de diálogo una nueva ID. Las respuestas conectadas de forma remota NO actualizarán sus identificaciones.","Genimport : Slet alle dialogknuder og den eksisterende YDEC-fil, genscan JSONS i mappen for en ny import.

Scan for ændringer: Scanner gennem JSONS i mappen og forsøger at opdatere noder med ny information og importerer alle nye dialoger.

Genindekser ID'er: Start fra det nuværende højeste ID, giv alle dialogknuder et nyt ID. Fjerntilsluttede svar vil IKKE opdatere deres id'er.","Opnieuw importeren: verwijder alle dialoogknooppunten en het bestaande YDEC-bestand en scan de JSONS in de map opnieuw voor een nieuwe import.

Scannen naar wijzigingen: Scant de JSONS in de map en probeert knooppunten bij te werken met nieuwe informatie, en importeert eventuele nieuwe dialoogvensters.

ID's opnieuw indexeren: begin vanaf de huidige hoogste ID en geef alle dialoogknooppunten een nieuwe ID. Op afstand verbonden reacties zullen hun ID NIET bijwerken.","Réimporter : supprimez tous les nœuds de dialogue et le fichier YDEC existant, en analysant à nouveau les JSONS dans le dossier pour une nouvelle importation.

Rechercher les modifications : analyse les JSONS dans le dossier, tente de mettre à jour les nœuds avec de nouvelles informations et importe toutes les nouvelles boîtes de dialogue.

Réindexer les ID : en commençant par l'ID le plus élevé actuel, attribuez un nouvel ID à tous les nœuds de dialogue. Les réponses connectées à distance ne mettront PAS à jour leurs identifiants.","Erneut importieren: Löschen Sie alle Dialogknoten und die vorhandene YDEC-Datei und scannen Sie die JSONS im Ordner erneut für einen neuen Import.

Nach Änderungen suchen: Durchsucht die JSONS im Ordner und versucht, Knoten mit neuen Informationen zu aktualisieren, und importiert alle neuen Dialoge.

IDs neu indizieren: Beginnen Sie mit der aktuell höchsten ID und geben Sie allen Dialogknoten eine neue ID. Remote-verbundene Antworten aktualisieren ihre IDs NICHT.","重新导入：删除所有对话节点和现有 YDEC 文件，重新扫描文件夹中的 JSONS 以进行全新导入。

扫描更改：扫描文件夹中的 JSONS，并尝试使用新信息更新节点，并将导入任何新对话框。

重新索引 ID：从当前最高 ID 开始，为所有对话节点赋予新 ID。远程连接的响应不会更新其 ID。","Återimportera: Ta bort alla dialognoder och den befintliga YDEC-filen, skanna om JSONS i mappen för en ny import.

Sök efter ändringar: Söker igenom JSONS i mappen och försöker uppdatera noder med ny information och importerar alla nya dialogrutor.

Omindexera ID:n: Med början från det nuvarande högsta ID:t, ge alla dialognoder ett nytt ID. Fjärranslutna svar kommer INTE att uppdatera sina ID.","Повторный импорт: удалите все узлы диалога и существующий файл YDEC, повторно просканировав JSONS в папке для нового импорта.

Сканировать изменения: сканирует JSONS в папке и пытается обновить узлы новой информацией, а также импортирует любые новые диалоговые окна.

Идентификаторы повторного индексирования: начиная с текущего наивысшего идентификатора, присвойте всем узлам диалога новый идентификатор. Удаленно подключенные ответы НЕ будут обновлять свои идентификаторы.","再インポート : すべてのダイアログ ノードと既存の YDEC ファイルを削除し、フォルダー内の JSONS を再スキャンして新たにインポートします。

変更のスキャン: フォルダー内の JSONS をスキャンし、新しい情報でノードの更新を試み、新しいダイアログをインポートします。

ID の再インデックス: 現在の最も高い ID から始めて、すべてのダイアログ ノードに新しい ID を与えます。リモート接続された応答は ID を更新しません。","다시 가져오기: 모든 대화 노드와 기존 YDEC 파일을 삭제하고 새로 가져오기 위해 폴더에서 JSONS를 다시 검색합니다.

변경 사항 검색: 폴더의 JSONS를 검색하고 새 정보로 노드를 업데이트하려고 시도한 후 새 대화 상자를 가져옵니다.

ID 재색인: 현재 가장 높은 ID부터 시작하여 모든 대화 노드에 새 ID를 제공합니다. 원격으로 연결된 응답은 ID를 업데이트하지 않습니다."
MAIL_TOOLTIP,"Type the text that will appear on this page.

Note that formatting is approximate

It may not look exactly correct when viewed in Minecraft","Escriba el texto que aparecerá en esta página.

Tenga en cuenta que el formato es aproximado.

Es posible que no se vea exactamente correcto cuando se ve en Minecraft.","Indtast den tekst, der vises på denne side.

Bemærk, at formateringen er omtrentlig

Det ser muligvis ikke helt korrekt ud, når det ses i Minecraft","Typ de tekst die op deze pagina verschijnt.

Houd er rekening mee dat de opmaak bij benadering is

Het ziet er misschien niet helemaal correct uit als je het in Minecraft bekijkt","Tapez le texte qui apparaîtra sur cette page.

Notez que le formatage est approximatif

Cela peut ne pas sembler tout à fait correct lorsqu'il est affiché dans Minecraft","Geben Sie den Text ein, der auf dieser Seite angezeigt werden soll.

Beachten Sie, dass es sich bei der Formatierung um Näherungswerte handelt

Bei der Anzeige in Minecraft sieht es möglicherweise nicht ganz korrekt aus","输入将出现在此页面上的文本。

请注意，格式是近似值

在 Minecraft 中查看时它可能看起来不完全正确","Skriv texten som kommer att visas på den här sidan.

Observera att formateringen är ungefärlig

Det kanske inte ser helt korrekt ut när det visas i Minecraft","Введите текст, который появится на этой странице.

Обратите внимание, что форматирование является приблизительным.

Это может выглядеть не совсем правильно при просмотре в Minecraft.","このページに表示されるテキストを入力します。

フォーマットはおおよそのものであることに注意してください

Minecraft で表示すると正確に表示されない可能性があります","이 페이지에 표시될 텍스트를 입력하세요.

형식은 대략적인 것입니다.

Minecraft에서 보면 정확하게 보이지 않을 수 있습니다."
